"ID";"method";"file";"N";"M";"SD";"r";"kvar_obj";"kmeans_obj";"means_obj";"sd_obj";"skew_obj";"kur_obj";"cor_obj"
"A0O2I8V4";"diversity";"N240_M4_SD2_r0.4_A0O2I8V4";240;4;2;"0.4";27434.8744002954;3653.36540108786;0.0244472922575906;0.0898188221764135;0.273013732023273;0.737655580064061;0.039835391625237
"A0O2I8V4";"k-means";"N240_M4_SD2_r0.4_A0O2I8V4";240;4;2;"0.4";27161.7859818731;3653.48814467605;0.00431496880157327;0.326670190636787;0.683904937871466;1.14341410017023;0.168754468885541
"A0O2I8V4";"k-plus";"N240_M4_SD2_r0.4_A0O2I8V4";240;4;2;"0.4";27462.1311328704;3653.48623507153;0.00543249671750927;0.00278357594998319;0.429148932010777;1.1598370142163;0.18642308079624
"A0O2I8V4";"k-plus-correlation";"N240_M4_SD2_r0.4_A0O2I8V4";240;4;2;"0.4";27461.8958518154;3653.48449666164;0.00551550140605528;0.00817993932270522;0.453814021486701;1.00350689626512;0.00464640138982492
"A0O2I8V4";"k-plus-skew-kurtosis";"N240_M4_SD2_r0.4_A0O2I8V4";240;4;2;"0.4";27461.5541468947;3653.47106895631;0.00972022315057796;0.013915523977276;0.0997473107661575;0.550081465334629;0.143624430234429
"A0O2I8V4";"random";"N240_M4_SD2_r0.4_A0O2I8V4";240;4;2;"0.4";27263.1942866997;3627.78578235258;0.373934039208367;0.241621977692306;0.46115359451311;0.851632076290623;0.129896512694886
"A0Z4B1I2";"diversity";"N192_M3_SD2_r0_A0Z4B1I2";192;3;2;"0";17601.0706862424;2308.57130635355;0.0343030328428267;0.04211417181972;0.159050147918354;0.624182526215495;0.0907601392256471
"A0Z4B1I2";"k-means";"N192_M3_SD2_r0_A0Z4B1I2";192;3;2;"0";17438.1177932145;2308.69766492501;0.00331073149486818;0.324128678966206;0.376143288740219;0.759798202272743;0.201589869799122
"A0Z4B1I2";"k-plus";"N192_M3_SD2_r0_A0Z4B1I2";192;3;2;"0";17605.2310817177;2308.69741818287;0.00329265936926217;0.00445381171032707;0.484432663565296;0.789005022845925;0.224184186905122
"A0Z4B1I2";"k-plus-correlation";"N192_M3_SD2_r0_A0Z4B1I2";192;3;2;"0";17605.2064006808;2308.69728513231;0.00334873239469695;0.0051259573212011;0.630230453314672;1.04025695940144;0.00135256169370727
"A0Z4B1I2";"k-plus-skew-kurtosis";"N192_M3_SD2_r0_A0Z4B1I2";192;3;2;"0";17604.8345479021;2308.6928322529;0.00613288323372536;0.0165389613565181;0.0517942136700673;0.371789586172138;0.169983698173442
"A0Z4B1I2";"random";"N192_M3_SD2_r0_A0Z4B1I2";192;3;2;"0";17148.8677328587;2284.73854248891;0.409389024484548;0.450894824230003;0.399257325209741;0.706387596684764;0.331741843639966
"A1I0P8O4";"diversity";"N108_M3_SD2_r0.3_A1I0P8O4";108;3;2;"0.3";8845.54775793594;1305.39088374611;0.0477612887854673;0.0826596898629357;0.20810820232666;0.600360566383418;0.0809063969473717
"A1I0P8O4";"k-means";"N108_M3_SD2_r0.3_A1I0P8O4";108;3;2;"0.3";8674.89440797441;1305.56810157664;0.00960653569613518;0.337385285978403;0.430550974906287;0.743493477663655;0.288724815998557
"A1I0P8O4";"k-plus";"N108_M3_SD2_r0.3_A1I0P8O4";108;3;2;"0.3";8852.37002830575;1305.5498087321;0.0201714023653786;0.00855909568419041;0.40486923281039;0.856568919728682;0.249316081881296
"A1I0P8O4";"k-plus-correlation";"N108_M3_SD2_r0.3_A1I0P8O4";108;3;2;"0.3";8852.19481074631;1305.55986128456;0.0129002885709667;0.0171474259348833;0.638554626896919;0.705569551307218;0.0110703140726924
"A1I0P8O4";"k-plus-skew-kurtosis";"N108_M3_SD2_r0.3_A1I0P8O4";108;3;2;"0.3";8852.05048572248;1305.53838718818;0.0231892024716646;0.0196582494874555;0.125475688619577;0.339597848025074;0.298533359810904
"A1I0P8O4";"random";"N108_M3_SD2_r0.3_A1I0P8O4";108;3;2;"0.3";8769.89354180369;1296.07278853961;0.367714610548367;0.244233654848372;0.857945027972273;1.56441058750297;0.323713719640235
