"file";"ID";"N";"M";"SD";"r";"method";"result"
"N96_M2_SD1_r0.4_V5P9N2I7";"V5P9N2I7";96;2;1;0.4;"diversity";"1, 3, 2, 3, 2, 3, 1, 1, 1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 1, 3, 1, 1, 2, 1, 3, 1, 2, 3, 2, 1, 1, 2, 3, 3, 2, 1, 3, 1, 2, 3, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 3, 3, 2, 3, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 3, 1, 2, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 1, 3, 3, 1, 2, 2, 2, 1, 1, 2, 3, 1, 2, 3, 1, 3, 3, 3"
"N96_M2_SD1_r0.4_V5P9N2I7";"V5P9N2I7";96;2;1;0.4;"k-means";"2, 2, 2, 2, 1, 3, 2, 1, 2, 1, 3, 3, 3, 1, 2, 3, 1, 3, 3, 3, 2, 1, 2, 2, 2, 2, 1, 3, 1, 1, 2, 3, 3, 2, 1, 3, 3, 3, 2, 2, 1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 3, 1, 3, 1, 3, 3, 3, 2, 2, 1, 1, 2, 3, 1, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2, 2, 1, 3, 1, 3, 3, 2, 2, 3, 1, 1, 1, 3, 1, 3, 2, 3, 1, 1, 2, 2, 1"
"N96_M2_SD1_r0.4_V5P9N2I7";"V5P9N2I7";96;2;1;0.4;"k-plus";"2, 2, 1, 3, 3, 1, 2, 3, 3, 1, 1, 3, 2, 2, 3, 3, 2, 2, 2, 1, 3, 1, 1, 1, 1, 3, 3, 1, 2, 3, 3, 1, 1, 2, 2, 2, 1, 3, 3, 2, 2, 2, 2, 3, 2, 1, 2, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 3, 1, 1, 2, 2, 1, 3, 1, 1, 3, 3, 3, 2, 1, 1, 3, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 3, 3, 1, 1, 1"
"N96_M2_SD1_r0.4_V5P9N2I7";"V5P9N2I7";96;2;1;0.4;"k-plus-skew-kurtosis";"2, 3, 1, 2, 3, 2, 1, 3, 2, 1, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 3, 2, 1, 2, 3, 3, 3, 3, 1, 1, 1, 3, 2, 1, 3, 1, 2, 3, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 1, 1, 3, 1, 1, 2, 3, 3, 1, 3, 1, 2, 3, 1, 1, 3, 3, 2, 2, 2, 1, 3, 2, 3, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 2, 3, 1, 1, 2, 3, 1"
"N96_M2_SD1_r0.4_V5P9N2I7";"V5P9N2I7";96;2;1;0.4;"k-plus-correlation";"3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 2, 3, 3, 1, 3, 3, 2, 1, 1, 3, 2, 3, 2, 2, 3, 1, 3, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 1, 2, 1, 2, 2, 1, 1, 3, 3, 1, 2, 1, 1, 2, 1, 3, 2, 3, 1, 3, 2, 1, 3, 1, 2, 2, 3, 3, 2, 2, 1, 2, 3, 3, 1, 2, 1, 3, 2, 3, 3, 1, 3, 3, 2, 1, 2, 3, 2, 3, 2, 3, 3, 2, 2, 1, 1, 2"
"N96_M2_SD1_r0.4_V5P9N2I7";"V5P9N2I7";96;2;1;0.4;"random";"1, 1, 1, 2, 3, 3, 1, 1, 3, 3, 2, 3, 1, 3, 1, 3, 1, 1, 2, 2, 3, 3, 2, 3, 3, 3, 1, 3, 3, 2, 2, 1, 1, 1, 3, 3, 1, 3, 2, 3, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 3, 3, 2, 1, 2, 2, 1, 3, 3, 3, 1, 3, 2, 2, 2, 3, 1, 2, 2, 3, 2, 3, 1, 2, 3, 2, 2, 1, 1, 1, 2, 1, 3, 1, 2, 3, 1, 1"
"N156_M3_SD2_r0.5_M7U3X1I2";"M7U3X1I2";156;3;2;0.5;"diversity";"3, 1, 1, 3, 2, 3, 1, 2, 2, 3, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 3, 3, 3, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 3, 3, 1, 3, 3, 2, 3, 1, 1, 1, 3, 3, 3, 3, 2, 1, 3, 2, 2, 2, 3, 2, 1, 2, 1, 2, 1, 3, 2, 3, 3, 1, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 3, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 2, 3, 1, 1, 3, 1, 3, 1, 2, 2, 2, 3, 3, 2, 3, 1, 3, 3, 2, 3, 3, 2, 1, 2, 3, 1, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 1, 3, 3, 3, 1, 2, 1, 2, 1, 2, 1, 2, 3, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 2"
"N156_M3_SD2_r0.5_M7U3X1I2";"M7U3X1I2";156;3;2;0.5;"k-means";"1, 2, 3, 3, 2, 3, 1, 1, 2, 2, 3, 1, 3, 2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 2, 1, 1, 2, 2, 1, 3, 3, 3, 1, 1, 1, 3, 2, 1, 2, 1, 1, 3, 3, 2, 3, 1, 3, 3, 3, 2, 3, 3, 2, 2, 1, 3, 1, 1, 1, 2, 2, 1, 2, 3, 1, 2, 1, 3, 3, 3, 1, 1, 3, 2, 1, 1, 3, 2, 3, 1, 3, 3, 3, 2, 2, 3, 1, 3, 1, 1, 1, 2, 3, 2, 1, 3, 2, 3, 3, 2, 3, 1, 1, 2, 1, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 1, 1, 1, 3, 2, 2, 2, 1, 2, 2, 2, 3, 1, 2, 2, 1, 3, 3, 2, 2, 1, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1, 3, 3, 1, 3, 1, 1"
"N156_M3_SD2_r0.5_M7U3X1I2";"M7U3X1I2";156;3;2;0.5;"k-plus";"1, 1, 1, 2, 2, 3, 3, 1, 2, 1, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 3, 1, 1, 2, 3, 3, 3, 2, 1, 3, 1, 1, 3, 3, 3, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 3, 3, 2, 2, 3, 2, 1, 1, 1, 2, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2, 2, 1, 2, 2, 1, 1, 3, 2, 2, 1, 3, 3, 2, 2, 2, 3, 3, 1, 3, 2, 1, 3, 1, 3, 1, 3, 2, 3, 2, 1, 3, 3, 3, 3, 2, 1, 2, 2, 3, 3, 2, 1, 3, 2, 1, 2, 2, 1, 3, 3, 2, 1, 1, 2, 2, 1, 1, 3, 3, 3, 1, 1, 3, 2, 3, 1, 1, 3, 3, 3, 2, 2, 2, 2, 3, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 2"
"N156_M3_SD2_r0.5_M7U3X1I2";"M7U3X1I2";156;3;2;0.5;"k-plus-skew-kurtosis";"3, 3, 2, 1, 2, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 1, 1, 3, 1, 3, 2, 2, 1, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1, 3, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 3, 2, 1, 3, 2, 1, 1, 3, 3, 1, 2, 2, 1, 3, 1, 1, 2, 3, 3, 3, 3, 1, 2, 2, 3, 2, 2, 2, 1, 1, 3, 3, 1, 1, 3, 2, 2, 2, 3, 2, 1, 3, 3, 3, 1, 1, 3, 2, 2, 2, 3, 2, 2, 1, 3, 1, 1, 2, 1, 2, 1, 1, 3, 3, 2, 3, 3, 3, 1, 3, 2, 3, 3, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 3, 3, 1, 3, 3, 2, 3, 3"
