"file";"ID";"N";"M";"SD";"method";"result"
"N144_M7_SD3_r0.3_W0F2A1P5";"W0F2A1P5";"144";"7";0.3;"diversity";"3, 3, 3, 3, 4, 1, 2, 2, 2, 4, 3, 3, 2, 4, 1, 3, 4, 3, 3, 3, 1, 1, 1, 2, 3, 2, 4, 1, 4, 2, 1, 1, 4, 3, 2, 3, 2, 2, 4, 1, 3, 2, 3, 2, 2, 1, 1, 1, 4, 2, 1, 4, 1, 4, 1, 1, 1, 2, 2, 2, 3, 3, 1, 4, 2, 3, 3, 2, 4, 2, 2, 1, 4, 4, 2, 1, 2, 1, 1, 4, 3, 3, 2, 3, 4, 1, 3, 4, 3, 4, 2, 2, 1, 2, 2, 3, 2, 1, 4, 1, 3, 2, 2, 1, 1, 3, 4, 1, 4, 1, 4, 2, 3, 4, 1, 4, 4, 1, 3, 4, 3, 2, 4, 4, 2, 2, 4, 3, 3, 4, 1, 1, 3, 4, 1, 3, 1, 4, 3, 4, 4, 3, 2, 4"
"N144_M7_SD3_r0.3_W0F2A1P5";"W0F2A1P5";"144";"7";0.3;"k-means";"4, 1, 4, 3, 1, 4, 4, 3, 2, 1, 3, 4, 1, 3, 4, 2, 4, 2, 1, 1, 1, 1, 2, 1, 3, 4, 3, 4, 2, 2, 3, 2, 2, 2, 2, 4, 3, 3, 2, 2, 2, 4, 3, 4, 4, 2, 1, 2, 2, 1, 4, 1, 3, 4, 1, 4, 1, 3, 1, 1, 4, 1, 2, 1, 3, 1, 3, 1, 4, 3, 3, 2, 2, 4, 3, 3, 1, 4, 1, 3, 2, 4, 1, 2, 3, 1, 4, 2, 3, 3, 4, 4, 2, 3, 2, 2, 4, 1, 3, 2, 1, 1, 3, 2, 1, 1, 3, 1, 4, 2, 2, 2, 3, 3, 4, 4, 3, 4, 2, 1, 2, 4, 4, 1, 3, 1, 3, 3, 4, 2, 1, 1, 3, 2, 2, 3, 3, 2, 3, 4, 4, 4, 1, 4"
"N144_M7_SD3_r0.3_W0F2A1P5";"W0F2A1P5";"144";"7";0.3;"kplus";"2, 3, 1, 4, 2, 1, 2, 2, 1, 3, 3, 2, 1, 1, 1, 3, 1, 2, 2, 4, 4, 1, 4, 3, 3, 1, 1, 4, 2, 2, 2, 1, 3, 2, 1, 1, 1, 3, 1, 3, 3, 4, 2, 2, 3, 1, 1, 2, 3, 2, 4, 3, 3, 1, 4, 2, 3, 4, 2, 4, 3, 3, 3, 2, 4, 3, 1, 3, 1, 3, 1, 1, 4, 3, 4, 4, 2, 4, 4, 2, 3, 1, 3, 2, 4, 4, 4, 4, 4, 3, 2, 1, 4, 1, 1, 2, 2, 1, 3, 4, 3, 4, 3, 3, 3, 2, 4, 3, 4, 1, 1, 2, 2, 4, 4, 3, 3, 1, 2, 3, 1, 4, 1, 2, 2, 1, 2, 4, 4, 2, 2, 4, 2, 4, 1, 1, 4, 2, 4, 2, 3, 4, 1, 3"
"N144_M7_SD3_r0.3_W0F2A1P5";"W0F2A1P5";"144";"7";0.3;"kplus-skew-kurtosis";"3, 3, 1, 4, 2, 1, 2, 3, 3, 2, 3, 2, 2, 1, 3, 2, 2, 3, 2, 1, 1, 4, 4, 1, 2, 1, 1, 4, 2, 3, 3, 1, 1, 4, 3, 2, 1, 1, 4, 4, 3, 1, 2, 1, 3, 1, 2, 3, 3, 1, 4, 3, 4, 2, 1, 4, 4, 1, 2, 3, 3, 4, 1, 4, 1, 2, 2, 3, 1, 4, 1, 3, 4, 4, 2, 3, 1, 1, 3, 2, 4, 2, 1, 3, 2, 2, 1, 4, 4, 3, 2, 4, 4, 2, 1, 2, 2, 2, 1, 4, 4, 3, 2, 4, 2, 3, 3, 4, 1, 3, 4, 4, 4, 4, 2, 4, 3, 1, 1, 1, 4, 1, 4, 3, 2, 2, 1, 3, 1, 2, 2, 3, 3, 4, 3, 4, 4, 3, 2, 3, 2, 4, 3, 1"
"N144_M7_SD3_r0.3_W0F2A1P5";"W0F2A1P5";"144";"7";0.3;"kplus-correlation";"3, 2, 3, 1, 3, 2, 1, 1, 2, 1, 4, 1, 4, 3, 3, 4, 1, 4, 3, 4, 2, 4, 1, 3, 3, 1, 3, 2, 2, 2, 3, 4, 3, 1, 3, 1, 1, 1, 2, 4, 4, 1, 4, 3, 2, 1, 1, 3, 1, 2, 3, 3, 2, 2, 3, 1, 2, 4, 2, 4, 3, 3, 3, 1, 1, 1, 4, 3, 1, 2, 2, 1, 1, 2, 4, 4, 4, 3, 2, 4, 1, 2, 1, 2, 3, 4, 4, 2, 4, 2, 1, 1, 1, 4, 4, 1, 4, 3, 3, 2, 3, 1, 2, 2, 4, 4, 4, 2, 2, 3, 4, 2, 2, 4, 4, 4, 4, 2, 1, 3, 1, 2, 3, 2, 1, 4, 3, 4, 4, 3, 4, 1, 2, 3, 1, 3, 3, 3, 4, 2, 2, 1, 2, 3"
"N144_M7_SD3_r0.3_W0F2A1P5";"W0F2A1P5";"144";"7";0.3;"random";"1, 2, 1, 4, 2, 2, 1, 1, 3, 2, 4, 1, 1, 2, 3, 1, 3, 1, 2, 1, 3, 1, 2, 3, 3, 4, 4, 2, 4, 4, 3, 4, 3, 3, 3, 1, 3, 2, 4, 4, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 1, 2, 2, 2, 1, 2, 3, 2, 4, 1, 1, 4, 1, 3, 2, 2, 1, 2, 2, 4, 4, 2, 3, 4, 2, 3, 3, 3, 1, 4, 1, 4, 2, 3, 3, 2, 2, 4, 3, 2, 1, 1, 3, 3, 1, 3, 3, 2, 3, 1, 1, 4, 1, 2, 2, 4, 2, 4, 4, 3, 3, 4, 2, 1, 2, 4, 1, 4, 4, 1, 4, 1, 4, 2, 2, 1, 4, 3, 1, 1, 1, 1, 2, 3, 2, 1, 4, 4, 4, 3, 2, 4, 1, 3"
"N156_M7_SD2_r0.3_K2Q3V4S0";"K2Q3V4S0";"156";"7";0.3;"diversity";"2, 4, 1, 4, 3, 2, 4, 3, 2, 2, 4, 4, 3, 2, 1, 1, 1, 4, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 1, 4, 3, 3, 4, 2, 2, 1, 4, 2, 1, 4, 4, 2, 3, 2, 2, 3, 1, 4, 1, 1, 4, 1, 2, 2, 3, 3, 4, 2, 1, 3, 3, 2, 4, 1, 1, 3, 4, 4, 2, 2, 3, 3, 2, 2, 4, 3, 2, 4, 3, 2, 3, 1, 4, 4, 1, 4, 2, 1, 3, 3, 4, 4, 2, 1, 3, 4, 4, 2, 3, 4, 1, 4, 3, 2, 3, 3, 2, 4, 1, 4, 4, 4, 2, 3, 2, 2, 1, 3, 2, 2, 2, 4, 2, 3, 2, 1, 1, 2, 3, 3, 2, 3, 1, 1, 1, 4, 1, 4, 4, 2, 1, 3, 1, 4, 3, 1, 2, 2, 1, 4, 3, 4, 3"
"N156_M7_SD2_r0.3_K2Q3V4S0";"K2Q3V4S0";"156";"7";0.3;"k-means";"4, 1, 1, 3, 3, 2, 3, 1, 3, 1, 2, 2, 3, 4, 3, 3, 4, 4, 1, 3, 2, 2, 1, 2, 2, 4, 4, 3, 4, 2, 2, 2, 2, 2, 1, 3, 4, 4, 2, 2, 2, 2, 2, 4, 2, 3, 4, 1, 1, 1, 1, 2, 4, 4, 4, 3, 2, 3, 3, 3, 3, 4, 1, 1, 3, 4, 3, 1, 2, 3, 4, 1, 2, 4, 4, 3, 4, 2, 3, 1, 2, 3, 2, 1, 2, 4, 3, 4, 3, 3, 1, 2, 4, 1, 4, 4, 2, 1, 2, 1, 3, 1, 2, 1, 3, 1, 3, 3, 4, 3, 2, 2, 3, 1, 1, 1, 4, 4, 4, 1, 4, 4, 1, 1, 2, 3, 1, 2, 1, 3, 3, 3, 4, 3, 1, 1, 1, 1, 4, 3, 3, 1, 4, 4, 1, 4, 2, 4, 2, 2, 1, 3, 4, 2, 2, 4"
"N156_M7_SD2_r0.3_K2Q3V4S0";"K2Q3V4S0";"156";"7";0.3;"kplus";"2, 2, 4, 3, 2, 4, 1, 3, 1, 1, 2, 1, 3, 4, 1, 1, 4, 3, 4, 4, 4, 4, 3, 4, 1, 2, 2, 1, 1, 1, 3, 4, 4, 1, 2, 1, 4, 2, 2, 3, 1, 3, 1, 3, 3, 1, 4, 1, 4, 1, 3, 3, 3, 4, 3, 1, 3, 4, 2, 4, 2, 4, 1, 2, 3, 2, 2, 2, 3, 1, 1, 1, 1, 2, 2, 3, 2, 2, 4, 4, 2, 2, 3, 3, 3, 1, 1, 3, 4, 4, 2, 2, 2, 4, 2, 2, 1, 3, 2, 2, 3, 3, 1, 4, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 3, 2, 4, 2, 1, 4, 4, 4, 1, 3, 1, 1, 2, 1, 1, 3, 3, 3, 4, 3, 4, 2, 4, 4, 4, 2, 3, 3, 3, 1, 2, 1, 2, 2, 1, 4, 4, 3, 4, 2, 1, 3"
"N156_M7_SD2_r0.3_K2Q3V4S0";"K2Q3V4S0";"156";"7";0.3;"kplus-skew-kurtosis";"2, 3, 4, 3, 2, 3, 4, 3, 1, 3, 3, 4, 1, 3, 4, 1, 1, 1, 4, 2, 3, 1, 2, 4, 3, 4, 4, 2, 2, 3, 1, 3, 1, 3, 4, 3, 1, 4, 4, 4, 4, 1, 3, 3, 3, 2, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 4, 3, 1, 3, 1, 1, 2, 1, 1, 2, 4, 2, 1, 4, 4, 4, 3, 1, 4, 1, 4, 1, 1, 1, 3, 1, 1, 4, 2, 3, 2, 2, 4, 1, 4, 4, 3, 4, 1, 4, 2, 2, 3, 3, 2, 2, 2, 1, 4, 3, 2, 2, 4, 3, 2, 4, 3, 2, 2, 3, 4, 3, 1, 4, 1, 2, 2, 1, 2, 1, 2, 4, 4, 2, 4, 2, 2, 1, 2, 1, 3, 2, 4, 4, 2, 1, 1, 2, 4, 2, 1, 2, 4, 4, 2, 1, 2"
