"Group";"N";"Beauty";"Valence";"Arousal"
"1";"100";"4.34 (1.13)";"4.33 (1.23)";"3.67 (0.84)"
"2";"100";"4.34 (1.13)";"4.33 (1.23)";"3.67 (0.84)"
"3";"100";"4.34 (1.13)";"4.33 (1.23)";"3.67 (0.84)"
"4";"600";"4.34 (1.12)";"4.33 (1.23)";"3.67 (0.84)"
"1";"100";"4.34 (1.09)";"4.33 (1.20)";"3.67 (0.86)"
"2";"100";"4.34 (1.15)";"4.33 (1.28)";"3.67 (0.72)"
"3";"100";"4.34 (1.13)";"4.33 (1.19)";"3.67 (0.75)"
"4";"600";"4.34 (1.13)";"4.33 (1.23)";"3.67 (0.87)"
"1";"100";"4.43 (0.61)";"4.53 (0.76)";"3.64 (0.45)"
"2";"100";"4.43 (0.61)";"4.54 (0.76)";"3.64 (0.45)"
"3";"100";"4.43 (0.62)";"4.54 (0.75)";"3.65 (0.45)"
"4";"600";"4.30 (1.30)";"4.23 (1.39)";"3.68 (0.98)"
